3M Company,MMM,NYSE,5:1
Abbott Labs,ABT,NYSE,2:1
ABERCROMBIE & FITCH CO.,ANF,NYSE,1:1
ADECOAGRO S.A.,ADGO,NYSE,1:2
ADOBE SYSTEMS INCORPORATED,ADBE,NASDAQ,11:1
"ADVANCED MICRO DEVICES, INC.",AMD,NASDAQ,1:2
AEGON N.V.,AEG,NYSE,1:1
Agnico Eagle Mines Limited,AEM,NYSE,3:1
ALIBABA GROUP HOLDING LIMITED,BABA,NYSE,9:1
ALLERGAN PLC,AGN,NYSE,8:1
Alphabet Inc.,GOOGL,NASDAQ,29:1
ALTABA INC,AABA,NASDAQ,3:1
Altria Group Inc.,MO,NYSE,4:1
Aluminum Corp of China,ACH,NYSE,1:1
"AMAZON.COM, INC.",AMZN,NYSE,72:1
AMBEV S.A.,ABEV,NASDAQ,1:3
America Movil,AMX,NYSE,1:1
American Express Co,AXP,NYSE,5:1
American International Group (AIG),AIG,NYSE,5:1
Amgen Inc.,AMGN,NASDAQ,5:1
Analog Devices,ADI,NASDAQ,3:1
Apple Inc.,AAPL,NASDAQ,10:1
Applied Materials Inc.,AMAT,NASDAQ,5:1
Howmet Aerospace Inc.,HWM,NYSE,1:1
ARCOS DORADOS HOLDINGS INC.,ARCO,NYSE,1:2
Astrazeneca PLC,AZN,NYSE,2:1
AT &T Inc.,T,NYSE,3:1
Automatic Data Processing Inc,ADP,NASDAQ,2:1
Avery Dennison Corp.,AVY,NYSE,3:1
Avis Budget Group Inc.,CAR,NASDAQ,1:1
Natura & Co Holding S.A.,NTCO,NYSE,1:1
"BAIDU, INC.",BIDU,NASDAQ,11:1
Banco Bradesco S.A.,BBD,NYSE,1:1
Banco Santander (BRASIL) S.A.,BSBR,NYSE,1:1
BANCO SANTANDER (ADR),SAN,NYSE,1:4
Bank of America Corporation,BA.C,NYSE,2:1
Barclays Bank PLC,BCS,NYSE,1:1
Barrick Gold Corp,GOLD,NYSE,1:1
BASF SE,BAS,FRANKFURT,2:1
Bayer AG,BAYN,FRANKFURT,1:1
BHP Group LTD,BHP,NYSE,1:1
Bilbao Vizcaya Argentaria S.A.,BBV,NYSE,1:1
BIOGEN INC.,BIIB,NASDAQ,13:1
BlackBerry Limited,BB,NASDAQ,3:1
Boeing Co,BA,NYSE,3:1
BP PLC,BP,NYSE,5:1
BRF S.A.,BRFS,NYSE,1:3
Bristol-Myers Squibb Company,BMY,NYSE,1:1
BT GROUP PLC,BT,NYSE,1:1
BUNGE LIMITED,BNG,NYSE,5:1
Canon Inc,CAJ,NYSE,2:1
Cardinal Health Inc,CAH,NYSE,3:1
Caterpillar Inc,CAT,NYSE,5:1
Cemex S.A.B. de CV,CX,NYSE,1:1
CENTRAIS ELÉTRICAS BRASILEIRAS S.A. - ELETROBRÁS,EBR,NYSE,1:4
Chevron Corp.,CVX,NYSE,8:1
